"","Country","avg_GDP_2","avg_happiness"
"1","Burundi",1025.16004285714,3.37003333333333
"2","Central African Republic",1159.44508,3.31484285714286
"3","Somalia",1347.50572857143,4.84933333333333
"4","Democratic Republic of Congo",1404.41952142857,4.02808333333333
"5","Mozambique",1465.19031428571,4.86381538461538
"6","Niger",1549.84522142857,4.46468571428571
"7","Malawi",1615.89558571429,3.75
"8","Madagascar",1629.18032857143,4.0209
"9","Liberia",1637.54875714286,4.18606428571429
"10","Ethiopia",2215.1796,4.23415714285714
"11","Burkina Faso",2261.34871428571,4.34647857142857
"12","Guinea-Bissau",2393.51731428571,NA
"13","Rwanda",2467.31291428571,3.51073
"14","Togo",2500.00241428571,3.78665714285714
"15","Uganda",2597.20707142857,4.306
"16","Solomon Islands",2602.87471428571,NA
"17","Chad",2618.14480714286,4.18983571428571
"18","Gambia",2671.91205,4.621825
"19","Afghanistan",2722.72173076923,2.83899285714286
"20","Mali",2750.36284285714,4.32880714285714
"21","Kiribati",2751.59445714286,NA
"22","Lesotho",2782.33554285714,3.92807272727273
"23","Sierra Leone",2837.50499285714,3.90581428571429
"24","Benin",3198.44151428571,4.20792857142857
"25","Tanzania",3278.56203571429,3.63415714285714
"26","Haiti",3280.13197857143,3.86597777777778
"27","Guinea",3319.45195714286,4.41023571428571
"28","Vanuatu",3325.5069,NA
"29","Comoros",3370.7438,3.95105
"30","Tajikistan",3489.31607142857,5.18912142857143
"31","Zambia",3558.45943571429,4.26624285714286
"32","Sudan",3615.23431428571,4.29866666666667
"33","Micronesia (country)",3804.33478571429,NA
"34","Senegal",3861.98318571429,4.64062857142857
"35","Papua New Guinea",4046.13152857143,NA
"36","Nepal",4122.23336428571,4.9608
"37","Tuvalu",4554.15246923077,NA
"38","Cameroon",4710.17892857143,4.81192142857143
"39","East Timor",4773.50353571429,NA
"40","Pakistan",4966.25755714286,5.08230714285714
"41","Kenya",4972.00829285714,4.47885714285714
"42","Zimbabwe",5008.34803571429,3.68315714285714
"43","Myanmar",5337.59038571429,4.43842857142857
"44","Sao Tome and Principe",5409.1669,NA
"45","Cote d'Ivoire",5477.31947142857,4.74771538461538
