"","Country","avg_GDP","avg_LE"
"1","Somalia",1013.26292970588,50.0032794117647
"2","Mozambique",1060.67060342857,53.4079441176471
"3","Burundi",1090.49421914286,53.4809088235294
"4","Central African Republic",1245.92188628571,46.0659352941176
"5","Democratic Republic of Congo",1328.39958457143,54.7446764705882
"6","Malawi",1368.26775428571,54.0076588235294
"7","Niger",1384.49590285714,53.1596411764706
"8","Ethiopia",1425.71402142857,56.4599294117647
"9","Liberia",1455.11480571429,54.5097705882353
"10","Madagascar",1667.30207714286,59.8132235294118
"11","Rwanda",1692.46638428571,55.3780823529412
"12","Burkina Faso",1774.76792,54.5227441176471
"13","Uganda",1974.81303714286,56.6028647058824
"14","Guinea-Bissau",2177.66758857143,54.66225
"15","Chad",2227.25964571429,49.6652176470588
"16","Togo",2253.11079428571,56.9229970588235
"17","Lesotho",2312.63369142857,51.3013264705882
"18","Afghanistan",2393.03245833333,57.5341558823529
"19","Sierra Leone",2469.26747714286,50.2813029411765
"20","Mali",2481.68852571429,53.8217617647059
"21","Kiribati",2493.33832285714,64.7935205882353
"22","Tanzania",2515.53454571429,58.4939176470588
"23","Solomon Islands",2538.94744,68.0969176470588
"24","Tajikistan",2598.52000857143,66.0812
"25","Gambia",2637.53151428571,59.2710823529412
"26","Guinea",2738.19612571429,54.6271264705882
"27","Benin",2776.90363714286,57.5400352941176
"28","Zambia",2890.53540857143,53.9707117647059
"29","Nepal",3054.37434285714,64.5109823529412
"30","Comoros",3148.21703142857,61.4118294117647
"31","Myanmar",3183.98815,62.1286941176471
"32","Vanuatu",3247.93918857143,69.2016323529412
"33","Haiti",3303.88303142857,59.4457294117647
"34","Senegal",3389.80538,62.0778
"35","Sudan",3563.44202571429,60.8803647058824
"36","Micronesia (country)",3641.28441142857,64.9755970588235
"37","Cambodia",3706.24126,63.8612411764706
"38","Papua New Guinea",3717.78223714286,62.6404558823529
"39","East Timor",3772.90866285714,58.7744647058824
"40","Tuvalu",3917.70738235294,64.2275205882353
"41","Pakistan",4198.29830857143,63.42815
"42","Bangladesh",4227.94060857143,65.4156794117647
"43","Cameroon",4272.24083714286,56.6813882352941
"44","Kenya",4334.58733142857,59.3295176470588
"45","Ghana",4490.94577428571,60.2791764705882
"46","Sao Tome and Principe",4639.01254857143,63.6835411764706
"47","Honduras",4709.32085428571,69.1002882352941
"48","Laos",4749.28283428571,61.8186676470588
"49","Kyrgyzstan",4807.23370571429,66.8390147058823
"50","India",4873.04077142857,65.3903470588235
"51","Cote d'Ivoire",4920.40877428571,54.9384058823529
"52","Zimbabwe",5141.60743142857,53.2743882352941
"53","Djibouti",5624.86050833333,59.6950882352941
"54","Uzbekistan",5630.47377714286,68.3449941176471
"55","Mauritania",5638.34350857143,63.5358676470588
"56","Samoa",5648.69125142857,70.5897235294118
"57","Cape Verde",5833.43872857143,70.4393647058824
"58","Tonga",5888.83112058824,70.5034470588235
"59","Philippines",6342.04795714286,68.0364205882353
"60","Morocco",6620.30965142857,69.2364323529412
"61","Nigeria",6753.59516,49.5995794117647
"62","Vietnam",7009.96527142857,72.8438705882353
"63","Syria",7066.02955757576,70.3210323529412
"64","Eswatini",7656.99804857143,52.7972647058824
"65","Congo",7738.59131142857,59.5010705882353
"66","Bhutan",8503.42902647059,65.8671323529412
"67","El Salvador",8544.42384,68.65235
"68","Indonesia",8682.91454285714,67.4587882352941
"69","Angola",8839.75094285714,53.4554794117647
"70","Bolivia",8950.21057714286,63.6459058823529
"71","Jordan",9109.53224571429,73.3160588235294
"72","Sri Lanka",9287.50705714286,72.9709411764706
"73","Turkmenistan",9342.16206571428,66.7573235294118
"74","Namibia",9435.57381428572,57.7357911764706
"75","Armenia",9673.66404857143,71.7562205882353
"76","Guatemala",9701.11150571429,68.0202911764706
"77","Mongolia",9756.56029428571,65.61555
"78","China",9821.72915142857,74.1159794117647
"79","Fiji",10097.6565828571,66.2461764705882
"80","Jamaica",10121.2055571429,71.5872147058823
"81","Bosnia and Herzegovina",10160.9910485714,74.0692
"82","Albania",10167.92576,76.4702029411765
"83","Moldova",10205.7146885714,68.6589264705882
"84","Tunisia",10606.2817657143,73.2811676470588
"85","Peru",10807.0252371429,71.5603117647059
"86","Iraq",10928.9055542857,66.7578323529412
"87","Georgia",11266.2693228571,71.2637088235294
"88","Belize",11405.4734571429,70.5486735294118
"89","Nauru",11410.8073,60.2132911764706
"90","Ecuador",11457.3845142857,73.6364117647059
"91","Egypt",11764.4208428571,68.0340676470588
"92","Paraguay",12267.7451571429,71.1080735294118
"93","Saint Vincent and the Grenadines",12509.7395828571,70.5227264705882
"94","South Africa",12706.7755714286,60.6805558823529
